"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"ENSMUSG00000001029",25.7363920795713,0.227013735770592,0.152219210009896,1.49136062232771,0.135866840682613,0.792857271314076,"Icam2"
"ENSMUSG00000001034",207.197688963995,-0.0348810763805107,0.128005440565038,-0.272496826904697,0.78524003076086,0.994309587452224,"Mapk7"
"ENSMUSG00000001036",1288.3322515297,-0.0709058506190194,0.0915668085665478,-0.774361930147291,0.438716790020647,0.994309587452224,"Epn2"
"ENSMUSG00000001039",82.3578913086414,0.112087727019692,0.146894550373693,0.763048913213906,0.4454342255019,0.994309587452224,"B9d1"
"ENSMUSG00000001052",1557.84002327994,0.0216814754458063,0.0793380789796992,0.273279561651021,0.784638325026066,0.994309587452224,"Sec24b"
"ENSMUSG00000001053",95.9737795957296,0.123020014526108,0.143449791569076,0.857582386007649,0.391123104642212,0.994309587452224,"N4bp3"
"ENSMUSG00000001054",247.806413012238,-0.146839016832056,0.118832361927741,-1.23568205200991,0.216576771567134,0.924530828272621,"Rmnd5b"
"ENSMUSG00000001056",206.696390193278,0.044303780676123,0.123958966064206,0.357406826491078,0.720787267000793,0.994309587452224,"Nhp2"
"ENSMUSG00000001062",584.586784904762,-0.00101845726764351,0.0961441958059058,-0.0105930187371846,0.991548151964127,0.997429480214385,"Vps9d1"
"ENSMUSG00000001065",201.250835683179,0.233307883385363,0.124244780003256,1.87780833431593,0.0604073897223178,0.540901917052308,"Zfp276"
"ENSMUSG00000001076",7.27268114636863,0.0516199671971587,0.11269522267089,0.45804929413829,0.6469170267964,0.994309587452224,"C1ql4"
"ENSMUSG00000001082",99.4545084823906,-0.0763773387768506,0.151441854080468,-0.50433441429123,0.614026397789024,0.994309587452224,"Mfsd10"
"ENSMUSG00000001089",1617.05491601031,-0.336553561722316,0.0936682598950678,-3.59303740775522,0.000326845644215188,0.0131415219538171,"Luzp1"
"ENSMUSG00000001098",973.012278902532,0.236828981780272,0.151376926772439,1.56449854564884,0.117700534251339,0.739592751841342,"Kctd10"
"ENSMUSG00000001100",744.421643860035,0.0318529765802109,0.0929840797448024,0.342563766481664,0.731926664567746,0.994309587452224,"Poldip2"
"ENSMUSG00000001103",11.6605683856848,0.129028439847624,0.133787947065089,0.964424992520823,0.334832897076256,0.994309587452224,"Sebox"
"ENSMUSG00000001105",1001.25002522777,-0.0965347791016859,0.101431299126911,-0.951725748685335,0.341236087302434,0.994309587452224,"Ift20"
"ENSMUSG00000001119",674.26335262374,0.0448793832560947,0.105205881224637,0.426586258616736,0.669680708184135,0.994309587452224,"Col6a1"
"ENSMUSG00000001120",978.551528905872,0.156537083499056,0.0941403977854699,1.66280456829785,0.0963515619008703,0.681908157831013,"Pcbp3"
"ENSMUSG00000001123",56.9337690447107,-0.132903969960704,0.153207200371157,-0.867478614834902,0.385679824053569,0.994309587452224,"Lgals9"
"ENSMUSG00000001127",2082.81166350584,0.030049890857416,0.0873327635754866,0.344084964532723,0.730782389888685,0.994309587452224,"Araf"
"ENSMUSG00000001128",62.4440202892612,-0.0648929868471808,0.152858530442692,-0.424529705075961,0.67117954634467,0.994309587452224,"Cfp"
"ENSMUSG00000001131",3.66199747183612,0.0853785344735985,0.0869090368211526,0.982389606380017,0.325907944781317,0.994309587452224,"Timp1"
"ENSMUSG00000001134",59.3462090827129,0.0107649930167277,0.152794379507359,0.0704541165155177,0.943832219467833,0.99443889636039,"Uxt"
"ENSMUSG00000001138",266.996515048825,-0.00702557948866558,0.123179127859593,-0.0570354703004047,0.954516939904263,0.99443889636039,"Cnnm3"
"ENSMUSG00000001143",503.782204002474,-0.0346915018105264,0.1117156032957,-0.310534077488724,0.756154849321169,0.994309587452224,"Lman2l"
"ENSMUSG00000001150",726.628560770502,-0.0206129707288746,0.0971021068758416,-0.212281395245431,0.831887509117497,0.994309587452224,"Mcm3ap"
"ENSMUSG00000001151",906.256454903158,0.079809978228958,0.0898109374006407,0.888644307017206,0.374194271044785,0.994309587452224,"Pcnt"
